PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60331;M Embedded Systems;voltijd onderwijs;man;73;86;88;77;87;127;129;146;145;132
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60331;M Embedded Systems;voltijd onderwijs;vrouw;1;5;6;5;10;20;24;25;31;32
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60337;M Construction Management and Engineering;voltijd onderwijs;man;16;22;27;49;68;73;64;73;67;67
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60337;M Construction Management and Engineering;voltijd onderwijs;vrouw;4;14;13;18;29;38;33;25;23;26
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60344;M Medical Engineering;voltijd onderwijs;man;24;25;31;31;32;30;29;27;39;40
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60344;M Medical Engineering;voltijd onderwijs;vrouw;14;17;19;24;24;25;36;54;71;86
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60347;M Industrial and Applied Mathematics;deeltijd onderwijs;man;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60347;M Industrial and Applied Mathematics;voltijd onderwijs;man;40;24;24;35;51;62;76;72;81;90
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60347;M Industrial and Applied Mathematics;voltijd onderwijs;vrouw;9;8;14;14;16;17;31;26;25;37
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60353;M Electrical Engineering;deeltijd onderwijs;man;2;2;4;5;10;11;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60353;M Electrical Engineering;deeltijd onderwijs;vrouw;0;0;0;0;0;1;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60353;M Electrical Engineering;voltijd onderwijs;man;108;128;145;177;203;207;218;217;219;235
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60353;M Electrical Engineering;voltijd onderwijs;vrouw;20;19;17;20;37;42;41;41;33;36
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60359;M Systems and Control;voltijd onderwijs;man;41;35;23;43;58;81;101;109;114;127
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60359;M Systems and Control;voltijd onderwijs;vrouw;5;5;5;4;4;3;11;10;11;14
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60428;M Automotive Technology;voltijd onderwijs;man;37;49;63;72;110;145;153;134;132;161
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60428;M Automotive Technology;voltijd onderwijs;vrouw;2;2;1;0;0;1;4;3;8;8
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60430;M Innovation Management;deeltijd onderwijs;man;3;1;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60430;M Innovation Management;voltijd onderwijs;man;108;115;138;156;151;154;145;154;150;164
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60430;M Innovation Management;voltijd onderwijs;vrouw;15;14;12;20;20;33;38;36;47;50
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60431;M Human-technology Interaction;deeltijd onderwijs;vrouw;1;1;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60431;M Human-technology Interaction;voltijd onderwijs;man;32;34;31;37;38;42;45;62;59;69
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60431;M Human-technology Interaction;voltijd onderwijs;vrouw;24;29;19;26;32;37;54;61;65;67
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60432;M Business Information Systems;deeltijd onderwijs;man;2;1;1;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60432;M Business Information Systems;voltijd onderwijs;man;45;39;38;45;44;55;54;55;41;21
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60432;M Business Information Systems;voltijd onderwijs;vrouw;18;13;11;9;14;19;21;18;9;4
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60434;M Architecture, Building and Planning;deeltijd onderwijs;man;5;5;2;0;3;2;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60434;M Architecture, Building and Planning;deeltijd onderwijs;vrouw;1;1;2;2;1;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60434;M Architecture, Building and Planning;voltijd onderwijs;man;377;388;495;613;668;616;511;417;380;340
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60434;M Architecture, Building and Planning;voltijd onderwijs;vrouw;144;153;180;225;226;217;201;203;200;188
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60436;M Applied Physics;deeltijd onderwijs;man;0;1;0;1;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60436;M Applied Physics;voltijd onderwijs;man;98;113;113;109;113;131;144;167;205;237
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60436;M Applied Physics;voltijd onderwijs;vrouw;6;12;17;12;10;12;18;26;27;32
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60437;M Chemical Engineering;deeltijd onderwijs;man;0;3;1;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60437;M Chemical Engineering;duaal onderwijs;man;4;1;1;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60437;M Chemical Engineering;voltijd onderwijs;man;98;106;121;114;120;142;163;169;180;196
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60437;M Chemical Engineering;voltijd onderwijs;vrouw;24;21;26;28;30;37;55;68;70;74
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60438;M Computer Science and Engineering;deeltijd onderwijs;man;3;2;2;2;2;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60438;M Computer Science and Engineering;voltijd onderwijs;man;97;108;127;137;147;172;190;232;287;385
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60438;M Computer Science and Engineering;voltijd onderwijs;vrouw;11;11;18;16;15;23;34;41;62;89
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60439;M Mechanical Engineering;deeltijd onderwijs;man;0;0;2;1;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60439;M Mechanical Engineering;voltijd onderwijs;man;279;306;327;327;357;423;422;443;479;468
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60439;M Mechanical Engineering;voltijd onderwijs;vrouw;10;18;20;18;28;33;35;34;36;32
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60441;M Industrial Design;voltijd onderwijs;man;70;83;92;94;81;91;91;85;91;85
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60441;M Industrial Design;voltijd onderwijs;vrouw;18;30;40;40;58;59;65;79;86;110
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60443;M Sustainable Energy Technology;deeltijd onderwijs;man;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60443;M Sustainable Energy Technology;deeltijd onderwijs;vrouw;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60443;M Sustainable Energy Technology;voltijd onderwijs;man;70;106;122;109;93;98;91;87;85;85
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);60443;M Sustainable Energy Technology;voltijd onderwijs;vrouw;23;31;25;20;24;27;26;25;17;20
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66226;M Biomedical Engineering;deeltijd onderwijs;man;0;0;0;1;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66226;M Biomedical Engineering;voltijd onderwijs;man;72;72;79;80;82;98;103;119;131;130
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66226;M Biomedical Engineering;voltijd onderwijs;vrouw;31;37;44;56;51;75;83;99;125;137
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66265;M Innovation Sciences;deeltijd onderwijs;man;3;3;2;3;2;1;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66265;M Innovation Sciences;deeltijd onderwijs;vrouw;0;1;1;2;1;2;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66265;M Innovation Sciences;voltijd onderwijs;man;30;27;36;44;42;48;50;44;49;51
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66265;M Innovation Sciences;voltijd onderwijs;vrouw;14;16;17;17;23;21;19;15;27;26
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66430;M Operations Management and Logistics;deeltijd onderwijs;man;2;1;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66430;M Operations Management and Logistics;voltijd onderwijs;man;104;129;179;202;239;270;296;286;305;309
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66430;M Operations Management and Logistics;voltijd onderwijs;vrouw;49;43;51;56;64;82;86;93;105;113
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66904;M Science and Technology of Nuclear Fusion;voltijd onderwijs;man;0;0;0;8;18;27;30;31;36;34
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);66904;M Science and Technology of Nuclear Fusion;voltijd onderwijs;vrouw;0;0;0;1;1;2;1;0;2;3
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);69301;M Building Services;deeltijd onderwijs;man;1;1;1;1;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);69301;M Building Services;duaal onderwijs;man;1;0;3;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);69301;M Building Services;duaal onderwijs;vrouw;1;1;0;0;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);69301;M Building Services;voltijd onderwijs;man;28;23;12;4;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);69301;M Building Services;voltijd onderwijs;vrouw;2;4;3;1;0;0;0;0;0;0
Noord-Brabant;0772;Eindhoven;reguliere inst.;postmaster;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;deeltijd onderwijs;man;9;12;8;6;6;6;5;5;6;7
Noord-Brabant;0772;Eindhoven;reguliere inst.;postmaster;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;deeltijd onderwijs;vrouw;0;1;0;1;2;4;2;3;2;1
Noord-Brabant;0772;Eindhoven;reguliere inst.;postmaster;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;voltijd onderwijs;man;20;31;26;29;24;42;36;37;36;37
Noord-Brabant;0772;Eindhoven;reguliere inst.;postmaster;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;voltijd onderwijs;vrouw;9;11;10;13;12;23;24;18;20;25
Noord-Brabant;0796;'s-Hertogenbosch;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);65018;M Data Science and Entrepreneurship (joint degree);voltijd onderwijs;man;0;0;0;0;0;0;3;15;48;83
Noord-Brabant;0796;'s-Hertogenbosch;reguliere inst.;master;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);65018;M Data Science and Entrepreneurship (joint degree);voltijd onderwijs;vrouw;0;0;0;0;0;0;0;2;9;21
Noord-Brabant;0796;'s-Hertogenbosch;reguliere inst.;master;21PN;Tilburg University;techniek;n.v.t. (techniek);65018;M Data Science and Entrepreneurship (joint degree);voltijd onderwijs;man;0;0;0;0;0;0;9;23;63;69
Noord-Brabant;0796;'s-Hertogenbosch;reguliere inst.;master;21PN;Tilburg University;techniek;n.v.t. (techniek);65018;M Data Science and Entrepreneurship (joint degree);voltijd onderwijs;vrouw;0;0;0;0;0;0;1;8;15;18
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;man;170;89;0;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;vrouw;87;32;0;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50750;B Bedrijfseconomie;voltijd onderwijs;man;919;1351;1248;1192;1137;1469;1529;1516;1485;1386
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50750;B Bedrijfseconomie;voltijd onderwijs;vrouw;299;457;438;481;452;559;561;593;580;548
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;man;156;149;184;226;232;222;247;303;338;354
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;vrouw;34;31;47;52;60;63;73;82;96;108
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50952;B International Business Administration;voltijd onderwijs;man;443;463;395;357;340;405;468;524;566;707
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);50952;B International Business Administration;voltijd onderwijs;vrouw;232;258;242;255;236;248;285;309;331;420
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56401;B Economie;voltijd onderwijs;man;118;127;86;94;92;109;131;132;147;148
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56401;B Economie;voltijd onderwijs;vrouw;73;57;52;47;59;61;74;59;70;74
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;man;152;199;175;185;164;167;165;167;167;171
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;vrouw;85;88;75;76;74;78;77;72;81;77
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;man;180;190;214;227;215;225;235;277;327;337
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;vrouw;71;89;83;83;82;89;95;126;132;143
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50754;B Organisatiewetenschappen;voltijd onderwijs;man;164;198;181;165;173;191;205;183;170;198
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50754;B Organisatiewetenschappen;voltijd onderwijs;vrouw;135;186;210;212;192;217;230;257;275;267
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50755;B Personeelwetenschappen;voltijd onderwijs;man;42;66;73;76;72;79;75;72;94;105
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50755;B Personeelwetenschappen;voltijd onderwijs;vrouw;113;182;163;196;223;217;234;237;258;277
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50756;B Vrijetijdwetenschappen;voltijd onderwijs;man;4;2;2;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50756;B Vrijetijdwetenschappen;voltijd onderwijs;vrouw;6;0;0;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;man;44;61;64;63;49;39;41;40;44;56
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;vrouw;59;88;93;95;76;63;75;85;91;105
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;man;293;310;311;284;272;232;265;322;432;570
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;vrouw;796;849;803;739;643;592;688;846;1188;1632
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;man;85;112;120;141;131;135;121;122;152;169
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;vrouw;79;82;76;74;73;72;74;87;107;134
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;natuur;n.v.t. (natuur);50951;B Economie en Informatica;voltijd onderwijs;man;72;111;98;60;31;11;4;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;natuur;n.v.t. (natuur);50951;B Economie en Informatica;voltijd onderwijs;vrouw;11;10;8;2;1;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;natuur;n.v.t. (natuur);59338;B Cognitive Science and Artificial Intelligence;voltijd onderwijs;man;0;0;0;0;0;0;0;0;0;155
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;natuur;n.v.t. (natuur);59338;B Cognitive Science and Artificial Intelligence;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;0;90
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;man;42;36;20;11;8;4;2;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;34;52;30;18;13;6;2;1;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;244;326;293;321;320;332;354;353;383;443
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;413;633;545;544;594;597;624;698;764;826
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50753;B Ondernemingsrecht;voltijd onderwijs;man;141;151;98;71;37;19;8;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);50753;B Ondernemingsrecht;voltijd onderwijs;vrouw;115;138;81;55;31;17;6;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56475;B Global Law;voltijd onderwijs;man;0;0;0;26;47;73;86;105;113;133
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56475;B Global Law;voltijd onderwijs;vrouw;0;0;0;42;77;115;162;191;214;244
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56827;B Fiscaal Recht;deeltijd onderwijs;man;12;34;20;17;10;3;4;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56827;B Fiscaal Recht;deeltijd onderwijs;vrouw;6;20;17;7;3;5;1;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56827;B Fiscaal Recht;voltijd onderwijs;man;107;133;126;126;135;135;166;155;171;183
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56827;B Fiscaal Recht;voltijd onderwijs;vrouw;81;91;83;86;86;89;130;143;130;137
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56829;B International and European Law;voltijd onderwijs;man;72;76;64;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;recht;n.v.t. (recht);56829;B International and European Law;voltijd onderwijs;vrouw;119;122;104;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;sectoroverstijgend;sectoroverstijgend;50393;B Liberal Arts and Sciences;voltijd onderwijs;man;61;85;96;118;119;113;107;113;111;124
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;sectoroverstijgend;sectoroverstijgend;50393;B Liberal Arts and Sciences;voltijd onderwijs;vrouw;89;103;123;140;140;141;164;183;206;218
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;taal en cultuur;n.v.t. (taal en cultuur);50406;B Religie in Samenleving en Cultuur;deeltijd onderwijs;man;1;6;3;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;taal en cultuur;n.v.t. (taal en cultuur);50406;B Religie in Samenleving en Cultuur;deeltijd onderwijs;vrouw;1;14;16;2;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;taal en cultuur;n.v.t. (taal en cultuur);50406;B Religie in Samenleving en Cultuur;voltijd onderwijs;man;2;4;3;0;0;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;taal en cultuur;n.v.t. (taal en cultuur);50406;B Religie in Samenleving en Cultuur;voltijd onderwijs;vrouw;8;15;6;1;2;0;0;0;0;0
Noord-Brabant;0855;Tilburg;reguliere inst.;bachelor;21PN;Tilburg University;taal en cultuur;n.v.t. (taal en cultuur);56081;B Filosofie;deeltijd onderwijs;man;16;32;22;19;13;11;13;6;15;13
